task,skill,layer,v_cos,v_rel_l2,k_raw_cos,k_cos,k_rel_l2
internal_comms_incident_update,internal-comms,0,1.0,0.0018,0.9234,1.0,0.0029
internal_comms_incident_update,internal-comms,1,0.9871,0.1432,0.6277,0.9976,0.0635
internal_comms_incident_update,internal-comms,2,0.9758,0.1992,0.6972,0.9923,0.1217
internal_comms_incident_update,internal-comms,3,0.9772,0.1979,0.4503,0.9815,0.1873
internal_comms_incident_update,internal-comms,4,0.9749,0.2069,0.5624,0.9812,0.1866
internal_comms_incident_update,internal-comms,5,0.9644,0.2444,0.5437,0.9869,0.1542
internal_comms_incident_update,internal-comms,6,0.9714,0.2234,0.3562,0.9648,0.2512
internal_comms_incident_update,internal-comms,7,0.9724,0.2135,0.7565,0.986,0.1667
internal_comms_incident_update,internal-comms,8,0.9722,0.2106,0.7927,0.9918,0.1172
internal_comms_incident_update,internal-comms,9,0.9783,0.1891,0.6036,0.9908,0.1328
internal_comms_incident_update,internal-comms,10,0.9761,0.1964,0.8466,0.9944,0.0904
internal_comms_incident_update,internal-comms,11,0.9722,0.2138,0.6197,0.9875,0.146
internal_comms_incident_update,internal-comms,12,0.9617,0.2549,0.5795,0.967,0.2428
internal_comms_incident_update,internal-comms,13,0.9529,0.2781,0.5565,0.9674,0.2468
internal_comms_incident_update,internal-comms,14,0.9403,0.3094,0.5386,0.9727,0.2201
internal_comms_incident_update,internal-comms,15,0.9456,0.2964,0.6171,0.973,0.2215
internal_comms_incident_update,internal-comms,16,0.9293,0.3379,0.7381,0.9778,0.2008
internal_comms_incident_update,internal-comms,17,0.9257,0.3526,0.6106,0.9531,0.2959
internal_comms_incident_update,internal-comms,18,0.9028,0.4025,0.6352,0.9384,0.3313
internal_comms_incident_update,internal-comms,19,0.9074,0.3912,0.5602,0.9385,0.3334
internal_comms_incident_update,internal-comms,20,0.889,0.4262,0.6375,0.9423,0.3254
internal_comms_incident_update,internal-comms,21,0.8757,0.4587,0.705,0.9089,0.4129
internal_comms_incident_update,internal-comms,22,0.8695,0.4664,0.6085,0.936,0.3275
internal_comms_incident_update,internal-comms,23,0.8711,0.4604,0.6487,0.915,0.3973
internal_comms_incident_update,internal-comms,24,0.8741,0.453,0.6768,0.8859,0.4637
internal_comms_incident_update,internal-comms,25,0.8662,0.4753,0.8192,0.9586,0.2865
internal_comms_incident_update,internal-comms,26,0.8933,0.4091,0.686,0.9159,0.387
internal_comms_incident_update,internal-comms,27,0.899,0.3982,0.6498,0.9424,0.3154
internal_comms_incident_update,internal-comms,28,0.9286,0.3232,0.6494,0.9098,0.4056
internal_comms_incident_update,internal-comms,29,0.9228,0.3399,0.6048,0.9301,0.3368
internal_comms_incident_update,internal-comms,30,0.9208,0.3411,0.6188,0.9509,0.2893
internal_comms_incident_update,internal-comms,31,0.9196,0.3552,0.616,0.9473,0.3126
internal_comms_incident_update,internal-comms,32,0.9292,0.3249,0.5591,0.9436,0.3161
internal_comms_incident_update,internal-comms,33,0.9335,0.3063,0.6018,0.925,0.3693
internal_comms_incident_update,internal-comms,34,0.935,0.3035,0.6575,0.9164,0.3865
internal_comms_incident_update,internal-comms,35,0.938,0.2897,0.6497,0.9156,0.3798
internal_comms_incident_update,internal-comms,36,0.9239,0.3391,0.6227,0.9497,0.2896
internal_comms_incident_update,internal-comms,37,0.9363,0.304,0.5767,0.9512,0.2776
internal_comms_incident_update,internal-comms,38,0.9281,0.329,0.6866,0.9579,0.277
internal_comms_incident_update,internal-comms,39,0.9297,0.3363,0.7386,0.9842,0.162
doc_coauthoring_design_doc,doc-coauthoring,0,1.0,0.0,0.9305,1.0,0.0025
doc_coauthoring_design_doc,doc-coauthoring,1,0.9969,0.0645,0.7123,0.9995,0.0262
doc_coauthoring_design_doc,doc-coauthoring,2,0.9938,0.0892,0.7341,0.9982,0.0507
doc_coauthoring_design_doc,doc-coauthoring,3,0.9938,0.095,0.528,0.9951,0.0867
doc_coauthoring_design_doc,doc-coauthoring,4,0.9927,0.1025,0.6132,0.995,0.0873
doc_coauthoring_design_doc,doc-coauthoring,5,0.9894,0.124,0.5901,0.9967,0.0717
doc_coauthoring_design_doc,doc-coauthoring,6,0.9902,0.123,0.4418,0.9919,0.1064
doc_coauthoring_design_doc,doc-coauthoring,7,0.9922,0.109,0.7921,0.9964,0.0783
doc_coauthoring_design_doc,doc-coauthoring,8,0.9923,0.1071,0.8066,0.9979,0.0567
doc_coauthoring_design_doc,doc-coauthoring,9,0.9945,0.0905,0.6767,0.9975,0.0641
doc_coauthoring_design_doc,doc-coauthoring,10,0.9938,0.0948,0.8714,0.9985,0.044
doc_coauthoring_design_doc,doc-coauthoring,11,0.9933,0.0991,0.6858,0.9972,0.0634
doc_coauthoring_design_doc,doc-coauthoring,12,0.9921,0.106,0.6271,0.9931,0.1007
doc_coauthoring_design_doc,doc-coauthoring,13,0.9885,0.1281,0.6051,0.993,0.1015
doc_coauthoring_design_doc,doc-coauthoring,14,0.9853,0.1454,0.6074,0.9939,0.096
doc_coauthoring_design_doc,doc-coauthoring,15,0.9867,0.1355,0.6714,0.9942,0.0961
doc_coauthoring_design_doc,doc-coauthoring,16,0.9809,0.1594,0.7813,0.9948,0.0887
doc_coauthoring_design_doc,doc-coauthoring,17,0.9804,0.1677,0.6644,0.9892,0.1274
doc_coauthoring_design_doc,doc-coauthoring,18,0.9731,0.1958,0.6864,0.9827,0.1628
doc_coauthoring_design_doc,doc-coauthoring,19,0.9715,0.1998,0.5893,0.9822,0.1619
doc_coauthoring_design_doc,doc-coauthoring,20,0.9638,0.2235,0.6815,0.9824,0.1647
doc_coauthoring_design_doc,doc-coauthoring,21,0.9594,0.2436,0.7465,0.9683,0.228
doc_coauthoring_design_doc,doc-coauthoring,22,0.9566,0.2495,0.6329,0.9773,0.1802
doc_coauthoring_design_doc,doc-coauthoring,23,0.9576,0.2437,0.6849,0.9711,0.2154
doc_coauthoring_design_doc,doc-coauthoring,24,0.9588,0.2417,0.7394,0.9542,0.2805
doc_coauthoring_design_doc,doc-coauthoring,25,0.9551,0.2562,0.8367,0.9837,0.1697
doc_coauthoring_design_doc,doc-coauthoring,26,0.9647,0.217,0.7177,0.9679,0.2248
doc_coauthoring_design_doc,doc-coauthoring,27,0.9657,0.2147,0.6925,0.9792,0.1752
doc_coauthoring_design_doc,doc-coauthoring,28,0.9747,0.1771,0.6756,0.9662,0.2335
doc_coauthoring_design_doc,doc-coauthoring,29,0.9737,0.1795,0.6442,0.974,0.1897
