offset,region,mode,layer,mass_mean_over_cases
0,skill_span,recompute,0,0.485347
0,skill_span,recompute,1,0.354693
0,skill_span,recompute,2,0.428304
0,skill_span,recompute,3,0.310029
0,skill_span,recompute,4,0.325520
0,skill_span,recompute,5,0.237706
0,skill_span,recompute,6,0.290291
0,skill_span,recompute,7,0.101483
0,skill_span,recompute,8,0.154353
0,skill_span,recompute,9,0.062249
0,skill_span,recompute,10,0.120044
0,skill_span,recompute,11,0.100442
0,skill_span,recompute,12,0.055354
0,skill_span,recompute,13,0.058335
0,skill_span,recompute,14,0.097368
0,skill_span,recompute,15,0.067994
0,skill_span,recompute,16,0.090225
0,skill_span,recompute,17,0.092086
0,skill_span,recompute,18,0.071626
0,skill_span,recompute,19,0.087243
0,skill_span,recompute,20,0.083056
0,skill_span,recompute,21,0.057468
0,skill_span,recompute,22,0.102600
0,skill_span,recompute,23,0.064815
0,skill_span,recompute,24,0.046815
0,skill_span,recompute,25,0.083049
0,skill_span,recompute,26,0.074234
0,skill_span,recompute,27,0.076007
0,skill_span,recompute,28,0.048800
0,skill_span,recompute,29,0.048233
0,skill_span,recompute,30,0.041588
0,skill_span,recompute,31,0.060436
0,skill_span,recompute,32,0.036260
0,skill_span,recompute,33,0.043543
0,skill_span,recompute,34,0.035220
0,skill_span,recompute,35,0.045320
0,skill_span,recompute,36,0.055697
0,skill_span,recompute,37,0.049718
0,skill_span,recompute,38,0.046075
0,skill_span,recompute,39,0.068908
0,skill_span,rope,0,0.484316
0,skill_span,rope,1,0.377027
0,skill_span,rope,2,0.432218
0,skill_span,rope,3,0.306869
0,skill_span,rope,4,0.338172
0,skill_span,rope,5,0.279312
0,skill_span,rope,6,0.271235
0,skill_span,rope,7,0.096733
0,skill_span,rope,8,0.151894
0,skill_span,rope,9,0.074167
0,skill_span,rope,10,0.147800
0,skill_span,rope,11,0.082309
0,skill_span,rope,12,0.051130
0,skill_span,rope,13,0.058115
0,skill_span,rope,14,0.085797
0,skill_span,rope,15,0.055043
0,skill_span,rope,16,0.096898
0,skill_span,rope,17,0.083394
0,skill_span,rope,18,0.078211
0,skill_span,rope,19,0.098316
0,skill_span,rope,20,0.078423
0,skill_span,rope,21,0.041950
0,skill_span,rope,22,0.083573
0,skill_span,rope,23,0.061775
0,skill_span,rope,24,0.038192
0,skill_span,rope,25,0.084219
0,skill_span,rope,26,0.038920
0,skill_span,rope,27,0.046213
0,skill_span,rope,28,0.024461
0,skill_span,rope,29,0.033972
0,skill_span,rope,30,0.030710
0,skill_span,rope,31,0.045944
0,skill_span,rope,32,0.025404
0,skill_span,rope,33,0.021698
0,skill_span,rope,34,0.019147
0,skill_span,rope,35,0.033843
0,skill_span,rope,36,0.046120
0,skill_span,rope,37,0.049848
0,skill_span,rope,38,0.051763
0,skill_span,rope,39,0.146897
0,pre_skill_context,recompute,0,0.044304
0,pre_skill_context,recompute,1,0.042803
0,pre_skill_context,recompute,2,0.054422
0,pre_skill_context,recompute,3,0.045883
0,pre_skill_context,recompute,4,0.054092
0,pre_skill_context,recompute,5,0.052969
0,pre_skill_context,recompute,6,0.057818
0,pre_skill_context,recompute,7,0.016437
0,pre_skill_context,recompute,8,0.027109
0,pre_skill_context,recompute,9,0.013152
0,pre_skill_context,recompute,10,0.048343
0,pre_skill_context,recompute,11,0.039120
0,pre_skill_context,recompute,12,0.064083
0,pre_skill_context,recompute,13,0.076442
0,pre_skill_context,recompute,14,0.054788
0,pre_skill_context,recompute,15,0.076291
0,pre_skill_context,recompute,16,0.080567
