path,kind,description,source
summary.md,summary,Scope metric definition and result interpretation,manual specification and validated capture outputs
tables/attention_capture_summary.csv,table,Per-case matrix dimensions and unnormalized window mass,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_doc_coauthoring_design_doc_doc-coauthoring_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_doc_coauthoring_design_doc_doc-coauthoring_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_doc_coauthoring_design_doc_doc-coauthoring_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_doc_coauthoring_design_doc_doc-coauthoring_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_internal_comms_incident_update_internal-comms_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_internal_comms_incident_update_internal-comms_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_internal_comms_incident_update_internal-comms_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_internal_comms_incident_update_internal-comms_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
