timestamp,mem_total_kb,mem_free_kb,mem_available_kb,buffers_kb,cached_kb,swap_total_kb,swap_free_kb,pswpin,pswpout,pgpgin,pgpgout
1782702366.143807314,131645012,20871412,115642048,5206432,84330212,8388604,8085844,8012169,16604204,1404118975,3495376377
1782702367.199918562,131645012,20869988,115640628,5206436,84330216,8388604,8085844,8012169,16604204,1404118975,3495376501
1782702368.256595760,131645012,20869216,115639976,5206440,84330216,8388604,8085844,8012169,16604204,1404118975,3495376645
1782702369.312566542,131645012,20872412,115643060,5206440,84330216,8388604,8085844,8012169,16604204,1404118975,3495377237
1782702370.368676756,131645012,20871816,115642464,5206440,84330216,8388604,8085844,8012169,16604204,1404118975,3495377341
1782702371.424930824,131645012,20871492,115641636,5206440,84330216,8388604,8085844,8012169,16604204,1404118975,3495377597
1782702372.480885162,131645012,20870056,115640200,5206444,84330216,8388604,8085844,8012169,16604204,1404118975,3495379625
1782702373.538257263,131645012,20866472,115637124,5206448,84330220,8388604,8085844,8012169,16604204,1404118975,3495379729
1782702374.594577396,131645012,20866352,115637004,5206452,84330216,8388604,8085844,8012169,16604204,1404118975,3495379865
1782702375.651082797,131645012,20867400,115638052,5206452,84330220,8388604,8085844,8012169,16604204,1404118975,3495380473
1782702376.706577724,131645012,20867080,115637732,5206452,84330220,8388604,8085844,8012169,16604204,1404118975,3495380685
1782702377.762473616,131645012,20865624,115636304,5206452,84330220,8388604,8085844,8012169,16604204,1404118975,3495380793
1782702378.818149799,131645012,20866304,115636984,5206460,84330220,8388604,8085844,8012169,16604204,1404118975,3495380929
1782702379.874312284,131645012,20865044,115635724,5206464,84330220,8388604,8085844,8012169,16604204,1404118975,3495381033
1782702380.929869254,131645012,20868140,115638820,5206468,84330220,8388604,8085844,8012169,16604204,1404118975,3495381609
1782702381.986129980,131645012,20865124,115635804,5206468,84330220,8388604,8085844,8012169,16604204,1404118975,3495381741
1782702383.041678690,131645012,20862356,115633036,5206472,84330220,8388604,8085844,8012169,16604204,1404118975,3495381877
1782702384.097428132,131645012,20865028,115635708,5206480,84330220,8388604,8085844,8012169,16604204,1404118975,3495381993
1782702385.154181195,131645012,20747196,115518580,5206480,84330932,8388604,8085844,8012169,16604204,1404119779,3495382129
1782702386.211220745,131645012,20616172,115387624,5206484,84330996,8388604,8085844,8012169,16604204,1404119795,3495382273
1782702387.267030836,131645012,20551272,115322740,5206484,84331012,8388604,8085844,8012169,16604204,1404119859,3495383041
1782702388.323220606,131645012,20481276,115253848,5206484,84332084,8388604,8085844,8012169,16604204,1404121195,3495383145
1782702389.375506316,131645012,20463168,115236572,5206488,84333924,8388604,8085844,8012169,16604204,1404122739,3495383281
1782702390.428441885,131645012,20402492,115182616,5206488,84340644,8388604,8085844,8012169,16604204,1404129643,3495383541
1782702391.481278681,131645012,20360240,115144408,5206500,84343680,8388604,8085844,8012169,16604204,1404132723,3495383693
1782702392.534492598,131645012,20307772,115093984,5206512,84346228,8388604,8085844,8012169,16604204,1404135007,3495387681
1782702393.587524655,131645012,20081020,114868000,5206520,84346476,8388604,8085844,8012169,16604204,1404135255,3495387849
1782702394.640005962,131645012,19931932,114718408,5206524,84346476,8388604,8085844,8012169,16604204,1404135267,3495388113
1782702395.692617361,131645012,19845868,114632620,5206528,84346492,8388604,8085844,8012169,16604204,1404135271,3495388237
1782702396.745630824,131645012,19798356,114584344,5206536,84346484,8388604,8085844,8012169,16604204,1404135271,3495388385
1782702397.798500375,131645012,19728448,114514968,5206540,84346492,8388604,8085844,8012169,16604204,1404135271,3495388697
1782702398.851998108,131645012,19662112,114449296,5206540,84346644,8388604,8085844,8012169,16604204,1404135415,3495389437
1782702399.905323705,131645012,19608244,114397520,5206540,84348784,8388604,8085844,8012169,16604204,1404137559,3495389557
1782702400.962008650,131645012,19232000,114038676,5206540,84418784,8388604,8085844,8012169,16604204,1404157007,3495389697
